TIMESTAMP;DEPTH;ID;URL;DOMAIN;PRODUCT;DATASET_TOTAL;DOMAIN_COUNTRY;IP_COUNTRY;ROOT_DOMAIN
2019-01-04 16:49:23.679319;DEPTH0;URL26098;http://gis-piercetransit.opendata.arcgis.com;http://gis-piercetransit.opendata.arcgis.com;ARCGIS;12;(not available);United States;gis-piercetransit.opendata.arcgis.com
2019-01-04 16:49:27.101108;DEPTH0;URL26099;http://gis-placercounty.opendata.arcgis.com;http://gis-placercounty.opendata.arcgis.com;ARCGIS;45;(not available);United States;gis-placercounty.opendata.arcgis.com
2019-01-04 16:49:35.694550;DEPTH0;URL26102;http://gis-sccmo.opendata.arcgis.com;https://gis-sccmo.opendata.arcgis.com/;ARCGIS;78;(not available);United States;gis-sccmo.opendata.arcgis.com
2019-01-04 16:49:38.663131;DEPTH0;URL26103;http://gis-share-moorhead.opendata.arcgis.com;http://gis-share-moorhead.opendata.arcgis.com;ARCGIS;25;(not available);United States;gis-share-moorhead.opendata.arcgis.com
2019-01-04 16:49:47.006710;DEPTH0;URL26106;http://gis-smgov.opendata.arcgis.com;https://gis-smgov.opendata.arcgis.com/;ARCGIS;33;(not available);United States;gis-smgov.opendata.arcgis.com
2019-01-04 16:49:51.990851;DEPTH0;URL26107;http://gis-txdot.opendata.arcgis.com;http://gis-txdot.opendata.arcgis.com;ARCGIS;72;(not available);United States;gis-txdot.opendata.arcgis.com
2019-01-04 16:49:58.724961;DEPTH0;URL26108;http://gis-vbgov.opendata.arcgis.com;http://gis-vbgov.opendata.arcgis.com;ARCGIS;212;(not available);United States;gis-vbgov.opendata.arcgis.com
2019-01-04 16:50:02.615496;DEPTH0;URL26109;http://gis-vplanas.opendata.arcgis.com;http://gis-vplanas.opendata.arcgis.com;ARCGIS;70;(not available);United States;gis-vplanas.opendata.arcgis.com
2019-01-04 16:51:45.158883;DEPTH0;URL26135;http://gisweb-1-old2017-02-27t135346010z-westspringfield.opendata.arcgis.com;http://gisweb-1-old2017-02-27t135346010z-westspringfield.opendata.arcgis.com;ARCGIS;30;(not available);United States;gisweb-1-old2017-02-27t135346010z-westspringfield.opendata.arcgis.com
2019-01-04 16:51:48.174463;DEPTH0;URL26136;http://givolunteer-cityofhoboken.opendata.arcgis.com;http://givolunteer-cityofhoboken.opendata.arcgis.com;ARCGIS;6;(not available);United States;givolunteer-cityofhoboken.opendata.arcgis.com
2019-01-04 16:51:51.814899;DEPTH0;URL26137;http://gma-panda.opendata.arcgis.com;http://gma-panda.opendata.arcgis.com;ARCGIS;130;(not available);United States;gma-panda.opendata.arcgis.com
2019-01-04 16:51:52.611813;DEPTH0;URL26138;http://gmottygyosei-kitakyushu.opendata.arcgis.com;http://gmottygyosei-kitakyushu.opendata.arcgis.com;ARCGIS;-1;(not available);United States;gmottygyosei-kitakyushu.opendata.arcgis.com
2019-01-04 17:44:02.803432;DEPTH0;URL208710;http://gnq-data.forest-atlas.org;http://gnq-data.forest-atlas.org;ARCGIS;10;(not available);United States;gnq-data.forest-atlas.org
2019-01-04 17:10:55.073379;DEPTH0;URL96354;http://gnv-grtgaz.opendatasoft.com;https://gnv-grtgaz.opendatasoft.com:443/pages/home_v2/;OPENDATASOFT;5;(not available);France;gnv-grtgaz.opendatasoft.com
2019-01-04 17:11:02.166920;DEPTH0;URL96355;https://grandpoitiers.opendatasoft.com;https://grandpoitiers.opendatasoft.com/pages/accueil/;OPENDATASOFT;173;(not available);Ireland;grandpoitiers.opendatasoft.com
2019-01-04 16:51:55.658601;DEPTH0;URL26139;http://grdata-grandrapids.opendata.arcgis.com;http://grdata-grandrapids.opendata.arcgis.com;ARCGIS;32;(not available);United States;grdata-grandrapids.opendata.arcgis.com
2019-01-04 16:52:11.689249;DEPTH0;URL26141;http://grsm-nps.opendata.arcgis.com;https://grsm-nps.opendata.arcgis.com/;ARCGIS;381;(not available);United States;grsm-nps.opendata.arcgis.com
2019-01-04 17:11:04.088779;DEPTH0;URL96356;http://grtgaz.opendatasoft.com;https://grtgaz.opendatasoft.com:443/pages/accueil/;OPENDATASOFT;3;(not available);France;grtgaz.opendatasoft.com
2019-01-04 17:11:07.104158;DEPTH0;URL96358;https://hauts-de-seine.opendatasoft.com;https://hauts-de-seine.opendatasoft.com/pages/accueil/;OPENDATASOFT;185;(not available);France;hauts-de-seine.opendatasoft.com
2019-01-04 17:31:13.735512;DEPTH0;URL150368;http://health.data.ny.gov;https://health.data.ny.gov/;SOCRATA;181;(not available);United States;health.data.ny.gov
2019-01-04 17:49:57.525828;DEPTH0;URL259168;http://health.opendata.go.tz;http://health.opendata.go.tz;CKAN;186;Tanzania, United Republic of;Tanzania;health.opendata.go.tz
2019-01-04 16:52:24.923174;DEPTH0;URL26147;https://healthcare-access-columbus.opendata.arcgis.com;https://healthcare-access-columbus.opendata.arcgis.com;ARCGIS;79;(not available);United States;healthcare-access-columbus.opendata.arcgis.com
2019-01-04 17:31:03.954656;DEPTH0;URL150331;http://healthdata.nj.gov;https://healthdata.nj.gov/;SOCRATA;131;(not available);United States;healthdata.nj.gov
2019-01-04 17:31:16.120626;DEPTH0;URL150370;http://healthdata.ny.gov;https://healthdata.ny.gov/;SOCRATA;181;(not available);United States;healthdata.ny.gov
2019-01-04 17:11:09.275968;DEPTH0;URL96361;http://helsingborg.opendatasoft.com;https://helsingborg.opendatasoft.com:443/explore/;OPENDATASOFT;77;(not available);Germany;helsingborg.opendatasoft.com
2019-01-04 17:36:01.710138;DEPTH0;URL163874;http://hetor.databenc.it;http://hetor.databenc.it/site/;CKAN;11116;Italy;Italy;hetor.databenc.it
2019-01-04 16:52:26.907524;DEPTH0;URL26151;http://hifld-dhs-gii.opendata.arcgis.com;http://hifld-dhs-gii.opendata.arcgis.com;ARCGIS;-1;(not available);United States;hifld-dhs-gii.opendata.arcgis.com
2019-01-04 16:52:36.610340;DEPTH0;URL26152;http://hifld-geoplatform.opendata.arcgis.com;https://hifld-geoplatform.opendata.arcgis.com/;ARCGIS;368;(not available);United States;hifld-geoplatform.opendata.arcgis.com
2019-01-04 16:52:48.734920;DEPTH0;URL26154;http://highlands-data-njhighlands.opendata.arcgis.com;http://highlands-data-njhighlands.opendata.arcgis.com;ARCGIS;55;(not available);United States;highlands-data-njhighlands.opendata.arcgis.com
